Karelis,72,Greece,PAOK
Molinaro,72,Italy,Frosinone
Lukaku,86,Belgium,Manchester United
Halstenberg,78,Germany,RB Leipzig
Izco,72,Argentina,Cosenza
N'Doye,74,Senegal,FC Kobenhavn
Kone,74,Ivory Coast,Sivasspor
Cvitanich,77,Argentina,Racing Club
Conti,75,Italy,Milan
Chichizola,77,Argentina,Getafe CF
Helander,75,Sweden,Bologna
Demir,72,Turkey,Sivasspor
Mykhalyk,74,Ukraine,Lokomotiv Moscow
Gerkens,72,Belgium,RSC Anderlecht
Pjaca,76,Croatia,Fiorentina
Katai,74,Serbia,Chicago Fire
Allen,76,Wales,Stoke City
Nakamura,73,Japan,Kawasaki Frontale
Elis,75,Honduras,Houston Dynamo
Valencia,76,Ecuador,Ecuador
Ito,73,Japan,KRC Genk
Trapp,81,Germany,Eintracht Frankfurt
Lanaro,72,Argentina,Universidad Catolica
Fernandes,71,Switzerland,Fiorentina
Roberts,74,England,Girona FC
Armani,80,Argentina,Argentina
Del Valle,74,Colombia,Queretaro
Iori,72,Italy,Cittadella
Hofler,72,Germany,SC Freiburg
Lingard,82,England,Manchester United
Montiel,74,Argentina,River Plate
Hazard,91,Belgium,Real Madrid
Carcela-Gonzalez,77,Morocco,Standard de Liege
Zengin,72,Turkey,Besiktas JK
Fernandes,75,Chile,Alanyaspor
Perez,77,Paraguay,RCD Espanyol
Dockal,76,Czech Republic,Sparta Praha
Cork,77,England,Burnley
Isla,75,Chile,Fenerbahce SK
Kololli,72,Kosovo,FC Zurich
Eschenko,74,Russia,Spartak Moscow
Obasi,72,Nigeria,AIK
Bolasie,74,DR Congo,RSC Anderlecht
Orellana,77,Chile,SD Eibar
Poli,77,Italy,Bologna
Osorio,71,Canada,Toronto FC
Vargas,76,Colombia,Deportivo Cali
Balanta,76,Colombia,FC Basel 1893
Koolwijk,72,Netherlands,Excelsior
Ndongala,73,DR Congo,KRC Genk
Lawrence,74,Jamaica,New York Red Bulls
Kayal,72,Israel,Brighton & Hove Albion
Radonjic,72,Serbia,Olympique de Marseille
Duffy,72,England,Sheffield United
Vasin,77,Russia,PFC CSKA Moscow
Giovinco,82,Italy,Italy
Diedhiou,73,Senegal,Bristol City
Losilla,72,France,VfL Bochum 1848
Insua,72,Argentina,Panathinaikos FC
Walke,73,Germany,FC Red Bull Salzburg
Margreitter,74,Austria,FC Nurnberg
Pisano,72,Argentina,Club Atletico Aldosivi
Nunez,72,Argentina,Atletico Tucuman
Lees,72,England,Sheffield Wednesday
Penaranda,73,Venezuela,Watford
Rybus,72,Poland,Lokomotiv Moscow
Forshaw,72,England,Leeds United
Romao,75,Togo,Stade de Reims
Bakambu,82,DR Congo,Beijing Sinobo Guoan FC
Borjan,73,Canada,Canada
Mount,74,England,Derby County
Sankhare,75,Senegal,FC Girondins de Bordeaux
Sportiello,78,Italy,Frosinone
Tesillo,74,Colombia,Club Leon
Lewandowski,90,Poland,FC Bayern Munchen
Kagawa,80,Japan,Besiktas JK
Gomis,76,Senegal,SPAL
Hakimi,78,Morocco,Borussia Dortmund
Hansen,75,Norway,Rosenborg BK
Cohen,73,Israel,FC Ingolstadt 04
Melgarejo,74,Paraguay,Spartak Moscow
Howedes,81,Germany,Lokomotiv Moscow
Gouweleeuw,79,Netherlands,FC Augsburg
Messi,94,Argentina,Paris Saint-Germain
Perin,84,Italy,Juventus
Belluschi,76,Argentina,San Lorenzo de Almagro
Bossut,72,Belgium,SV Zulte-Waregem
Souquet,74,France,KAA Gent
Donnarumma,75,Italy,Brescia
Falcinelli,74,Italy,Bologna
Mendy,76,France,Leicester City
Jojic,74,Serbia,Medipol Basaksehir FK
Ortiz,74,Argentina,Club Atletico Colon
Moreno,72,Colombia,Santos Laguna
Fraser,78,Scotland,Bournemouth
Reynet,78,France,Toulouse Football Club
Veljkovic,76,Serbia,SV Werder Bremen
Mooy,78,Australia,Huddersfield Town
Dominguez,74,Paraguay,Independiente
Ritchie,77,Scotland,Newcastle United
Jutkiewicz,71,England,Birmingham City
Van de Streek,72,Netherlands,FC Utrecht
Cagiran,74,Turkey,caykur Rizespor
Schrijvers,74,Belgium,Club Brugge KV
Pollersbeck,72,Germany,Hamburger SV
Arnautovic,82,Austria,West Ham United
Chester,74,Wales,Aston Villa
D'Ambrosio,76,Italy,Inter
Kamara,74,Sierra Leone,Colorado Rapids
Sorloth,72,Norway,KAA Gent
Claesson,75,Sweden,Sweden
Zulj,74,Austria,RSC Anderlecht
Aguilar,78,France,Montpellier HSC
Rosted,72,Norway,KAA Gent
Chumacero,74,Bolivia,Bolivia
Amalfitano,74,France,Dijon FCO
Tonali,71,Italy,Brescia
Niang,76,Senegal,Stade Rennais FC
Cutrone,77,Italy,Milan
McGregor,75,Scotland,Rangers FC
Dumfries,76,Netherlands,PSV
Campana,79,Uruguay,Uruguay
Derdiyok,73,Switzerland,Galatasaray SK
Sessegnon,75,England,Fulham
Ceppitelli,72,Italy,Cagliari
Ryan,80,Australia,Brighton & Hove Albion
Hack,74,Germany,FSV Mainz 05
Suarez,75,Argentina,River Plate
Johansson,72,Sweden,Panathinaikos FC
Fortounis,78,Greece,Olympiacos CFP
Daniels,75,England,Bournemouth
Robertone,72,Argentina,Velez Sarsfield
Jagielka,77,England,Everton
Kolodziejczak,75,France,AS Saint-etienne
Delaney,82,Denmark,Borussia Dortmund
Djilobodji,72,Senegal,En Avant de Guingamp
Holzhauser,72,Austria,Grasshopper Club Zurich
Gomis,81,France,Al Hilal
Koybasi,73,Turkey,Fenerbahce SK
Cardona,74,Colombia,Colombia
Bocanegra,75,Colombia,Atletico Nacional
Mahi,72,Morocco,FC Groningen
Obi,74,Nigeria,Alanyaspor
Criscito,80,Italy,Genoa
Carrasco,83,Belgium,Belgium
Jones,72,Northern Ireland,Kilmarnock
Steffen,75,United States,Columbus Crew SC
Uth,79,Germany,FC Schalke 04
Stephens,74,England,Southampton
Janmaat,77,Netherlands,Watford
Fuchs,74,Austria,Leicester City
Jelavic,72,Croatia,Guizhou Hengfeng FC
Falk,75,Denmark,FC Kobenhavn
Traore,72,Mali,KSV Cercle Brugge
Piatek,76,Poland,Milan
Hubner,73,Germany,FC Union Berlin
Stekelenburg,73,Netherlands,Everton
Pajot,73,France,Angers SCO
Silva,74,Argentina,CD Leganes
Davies,71,England,Preston North End
Barrada,73,Morocco,Gimnastic de Tarragona
Jensen,74,Denmark,Rosenborg BK
Beausejour,74,Chile,Chile
Garay,82,Argentina,Valencia CF
Mathieu,81,France,Sporting CP
Edouard,73,France,Celtic
Mora,74,Chile,U.N.A.M.
Zakaria,77,Switzerland,Borussia Monchengladbach
Mangala,76,France,Manchester City
Beck,74,Germany,VfB Stuttgart
Hart,78,England,Burnley
Mulder,72,Netherlands,Swansea City
Niakhate,74,France,FSV Mainz 05
Banguera,73,Ecuador,Ecuador
Stones,83,England,Manchester City
Baumann,83,Germany,TSG 1899 Hoffenheim
Defour,79,Belgium,Burnley
Higuain,77,Argentina,Columbus Crew SC
Berardi,78,Italy,Sassuolo
Burda,74,Ukraine,Dynamo Kyiv
Hooper,73,England,Sheffield Wednesday
Orsolini,73,Italy,Bologna
Fernandez,72,Argentina,Estudiantes de La Plata
Sertic,72,France,FC Zurich
Funes Mori,76,Argentina,Monterrey
Caligiuri,79,Italy,FC Schalke 04
Gonzalez,72,Paraguay,U.N.A.M.
Gomez,80,Uruguay,RC Celta
Demme,79,Germany,RB Leipzig
Chambers,74,England,Fulham
Choupo-Moting,77,Cameroon,Paris Saint-Germain
Torosidis,73,Greece,Olympiacos CFP
Holebas,78,Greece,Watford
Bourigeaud,77,France,Stade Rennais FC
Carrera,71,Argentina,Atletico Tucuman
Skrzybski,73,Germany,FC Schalke 04
El Zhar,76,Morocco,CD Leganes
Piedrahita,72,Colombia,Junior FC
Vogt,81,Germany,TSG 1899 Hoffenheim
Song,74,Cameroon,FC Sion
Gouano,74,France,Amiens SC
Kucher,73,Ukraine,Kayserispor
Sosa,76,Argentina,Trabzonspor
Cabrera,74,Uruguay,Getafe CF
Kraft,76,Germany,Hertha BSC
Biglia,82,Argentina,Milan
Galanopoulos,72,Greece,AEK Athens
Ibarra,75,Ecuador,Ecuador
Boyd,72,Scotland,Kilmarnock
Sule,84,Germany,FC Bayern Munchen
Pizarro,74,Peru,SV Werder Bremen
Onazi,75,Nigeria,Trabzonspor
Dubois,78,France,Olympique Lyonnais
Milenkovic,72,Serbia,Fiorentina
Boulaya,72,Algeria,FC Metz
Trejo,76,Argentina,Rayo Vallecano
Goldson,73,England,Rangers FC
Martinez Quarta,74,Argentina,River Plate
Chadli,77,Belgium,AS Monaco
Dubravka,79,Slovakia,Newcastle United
Horn,83,Germany,FC Koln
Mustafi,82,Germany,Arsenal
Krsticic,72,Serbia,AEK Athens
Leibold,73,Germany,FC Nurnberg
Denisov,80,Russia,Lokomotiv Moscow
Cillessen,82,Netherlands,FC Barcelona
Fahrmann,82,Germany,FC Schalke 04
Charbonnier,74,France,Stade Brestois 29
Honda,78,Japan,Melbourne Victory
Bendtner,72,Denmark,Rosenborg BK
Popov,76,Bulgaria,Bulgaria
Silbeira,72,Paraguay,Paraguay
Oczipka,76,Germany,FC Schalke 04
Romero,75,Argentina,Independiente
Stenzel,72,Germany,SC Freiburg
Lascelles,78,England,Newcastle United
Trotta,72,Italy,Frosinone
Zardes,73,United States,Columbus Crew SC
Racic,73,Serbia,CD Tenerife
Lemina,78,Gabon,Southampton
Bailey,81,Jamaica,Bayer 04 Leverkusen
Stetina,72,Slovakia,Sparta Praha
Sirigu,83,Italy,Torino
McCarty,73,United States,Chicago Fire
Veltman,76,Netherlands,Ajax
